id,comprador_id,codigo
4523,23663,KEA7139-4523
538,23755,MPH1782-0538
2633,23662,COG3144-2633
3974,23758,ETA6742-3974
3679,23752,BTA9626-3679
2276,23679,KEA7139-2276
4902,23755,COG4299-4902
3712,23763,IBE2338-3712
3668,23662,LUD5927-3668
2578,23723,LAT2175-2578
1082,23676,BTA9626-1082
3832,23769,KEA7139-3832
1970,23742,LAW1134-1970
3421,23773,LRC9669-3421
3294,23661,ETA6742-3294
531,23731,EAL8271-0531
405,23742,XLE5111-0405
1007,23693,COG3144-1007
444,23664,KAI3589-0444
2048,23683,LUD5927-2048
159,23782,AZI6476-0159
905,23783,LAW6318-0905
834,23696,LRC9669-0834
2988,23661,UAN2881-2988
3772,23666,UAN2881-3772
842,23789,LAM9574-0842
1515,23790,NCY1133-1515
2577,23791,LAM9574-2577
4064,23664,XLE3285-4064
3394,23696,QAF4466-3394
3376,23739,XLE3285-3376
4604,23674,ETA7128-4604
2543,23678,COG4299-2543
3339,23725,EAL7933-3339
3972,23804,ADC8249-3972
435,23690,ETA7128-0435
4697,23691,ADC8249-4697
4158,23680,COG4299-4158
4831,23738,BTA8394-4831
4979,23664,LAT2175-4979
1687,23725,BTA8394-1687
2515,23727,QAF4466-2515
3463,23676,LAT2175-3463
1196,23685,LAM9554-1196
3405,23818,BTA8394-3405
2465,23818,NCY1133-2465
1051,23742,AZI6476-1051
4241,23664,COG3144-4241
4727,23693,LUD7177-4727
4186,23828,LAT2175-4186
1749,23698,KAI7891-1749
894,23831,XLE7933-0894
1995,23673,LAT5532-1995
2500,23834,IBE8751-2500
3825,23837,XLE5111-3825
797,23839,ADC6283-0797
1080,23840,LUD5927-1080
2339,23691,MPH1782-2339
2301,23837,EAL8271-2301
1623,23746,XLE3285-1623
3168,23791,ETA7128-3168
414,23689,KEA7139-0414
4033,23683,IBE8751-4033
1699,23662,COG4299-1699
3752,23693,UCA4751-3752
4123,23753,QAF4466-4123
2936,23745,QAF6392-2936
4268,23660,LUD5927-4268
3999,23758,NCY1133-3999
3298,23782,LUD7177-3298
3409,23666,COG4299-3409
2054,23753,BTA9626-2054
4490,23691,XLE5111-4490
4763,23877,EAL7933-4763
3333,23738,NCY1133-3333
3568,23892,COG3144-3568
174,23895,LUD5927-0174
1090,23667,IBE2338-1090
3564,23710,LAW1134-3564
3037,23769,LRC4743-3037
4473,23727,COG7539-4473
102,23905,LAT5532-0102
4464,23789,LAM9554-4464
2133,23910,LAW6351-2133
3887,23660,NCY5615-3887
3951,23782,MPH1782-3951
843,23818,LAT2175-0843
3817,23917,LRC4743-3817
1195,23752,UAN2881-1195
3450,23728,LAM9574-3450
3819,23666,COG7539-3819
3080,23923,XLE5111-3080
3728,23769,LAW6351-3728
4188,23697,KAI7891-4188
221,23699,QAF6392-0221
4634,23739,KAI3589-4634
1733,23938,LAT2175-1733
4922,23938,LRC9669-4922
2271,23791,XLE5111-2271
3147,23753,KEA7139-3147
2616,23947,XLE7933-2616
4926,23950,LAM9574-4926
4177,23693,LAM9574-4177
1927,23729,LAW6318-1927
2193,23697,UCA4751-2193
3287,23699,MPH1782-3287
1251,23923,LRC4743-1251
1288,23923,KEA7139-1288
4646,23662,NCY5615-4646
1113,23670,LAW6351-1113
4771,23698,IBE8751-4771
1436,23877,ETA6742-1436
25,23670,COG3144-0025
945,23731,LAW1134-0945
623,23661,LUD7177-0623
2414,23719,ADC8249-2414
21,23688,LAW1134-0021
1907,23674,XLE7933-1907
4981,23839,KAI7891-4981
2440,23727,ETA6742-2440
4726,23683,ETA6742-4726
4137,23667,ADC6283-4137
3836,23755,ETA7128-3836
4404,23840,QAF6392-4404
4427,24032,UCA4751-4427
222,23668,UCA4751-0222
1678,23725,ADC6283-1678
613,23663,ADC8249-0613
3003,23674,LAM9554-3003
1542,23834,EAL7933-1542
403,23668,COG7539-0403
2890,24087,IBE2338-2890
255,23698,LAM9554-0255
4800,23895,ADC6283-4800
4758,23753,NCY1133-4758
2625,23725,LAW1134-2625
1430,23663,MPH1782-1430
4004,23947,EAL7933-4004
2281,23685,KAI3589-2281
743,23782,QAF4466-0743
3293,23782,ADC8249-3293
1361,23680,KAI3589-1361
3471,23685,KAI7891-3471
3237,23745,EAL8271-3237
3059,23702,COG7539-3059
1975,24165,COG3144-1975
2597,23731,KAI7891-2597
1165,23666,UCA4751-1165
3591,23680,LAT5532-3591
2497,23840,EAL7933-2497
1405,23828,NCY5615-1405
2448,23731,LUD7177-2448
4372,23722,IBE2338-4372
3543,24341,LAW6318-3543
181,23783,BTA9626-0181
1155,23720,QAF6392-1155
